epoch 0    train auc: 0.8947  acc: 0.8111    eval auc: 0.8905  acc: 0.8087    test auc: 0.8883  acc: 0.8075
epoch 1    train auc: 0.8981  acc: 0.8137    eval auc: 0.8921  acc: 0.8104    test auc: 0.8896  acc: 0.8089
epoch 2    train auc: 0.8992  acc: 0.8148    eval auc: 0.8923  acc: 0.8107    test auc: 0.8898  acc: 0.8083
epoch 3    train auc: 0.9003  acc: 0.8156    eval auc: 0.8923  acc: 0.8106    test auc: 0.8898  acc: 0.8087
epoch 4    train auc: 0.9014  acc: 0.8169    eval auc: 0.8921  acc: 0.8101    test auc: 0.8890  acc: 0.8079
epoch 5    train auc: 0.9069  acc: 0.8238    eval auc: 0.8956  acc: 0.8154    test auc: 0.8933  acc: 0.8130
epoch 6    train auc: 0.9138  acc: 0.8328    eval auc: 0.9022  acc: 0.8229    test auc: 0.8997  acc: 0.8201
epoch 7    train auc: 0.9180  acc: 0.8379    eval auc: 0.9057  acc: 0.8284    test auc: 0.9034  acc: 0.8262
epoch 8    train auc: 0.9199  acc: 0.8403    eval auc: 0.9075  acc: 0.8295    test auc: 0.9056  acc: 0.8272
epoch 9    train auc: 0.9211  acc: 0.8415    eval auc: 0.9081  acc: 0.8306    test auc: 0.9060  acc: 0.8284

d = 2
